Rk,Player,Season,Age,Tm,Lg,G,TS_PCT,PTS,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG_PCT,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
63,Pascal Siakam,2018-19,24,TOR,NBA,58,.626,16.1,57,1828,18.6,.211,.328,5.7,18.1,12.0,13.3,1.5,1.7,12.3,19.9,121,107,4.2,2.5,6.6,.174,1.9,1.6,3.5,2.5
64,Serge Ibaka,2018-19,29,TOR,NBA,55,.581,16.0,46,1584,18.4,.195,.210,8.0,21.7,15.0,8.4,0.8,3.7,11.2,22.9,112,106,2.3,2.3,4.6,.140,-0.3,1.1,0.9,1.1
65,Montrezl Harrell,2018-19,25,LAC,NBA,59,.636,15.9,4,1556,23.5,.015,.484,9.9,16.9,13.5,11.3,1.7,4.2,10.2,22.4,124,108,4.6,1.9,6.5,.200,2.8,1.8,4.6,2.6
66,Eric Bledsoe,2018-19,29,MIL,NBA,56,.584,15.8,56,1630,19.4,.393,.229,3.7,11.9,8.0,26.9,2.4,1.2,13.3,22.6,116,104,3.4,2.9,6.2,.184,2.6,1.1,3.8,2.4
67,Malcolm Brogdon,2018-19,26,MIL,NBA,53,.611,15.8,53,1548,17.8,.313,.206,3.8,12.5,8.4,16.3,1.2,0.7,10.5,20.8,120,107,3.4,2.2,5.6,.175,1.7,0.0,1.7,1.4
68,Aaron Gordon,2018-19,23,ORL,NBA,55,.536,15.8,55,1841,15.1,.334,.256,5.3,18.4,11.7,16.3,1.1,1.6,11.9,21.8,106,109,1.2,2.2,3.4,.090,-0.1,1.0,0.8,1.3
69,Dennis Schroder,2018-19,25,OKC,NBA,54,.518,15.7,10,1527,13.7,.303,.207,1.5,10.9,6.1,21.1,1.5,0.4,13.2,25.2,103,109,0.4,1.7,2.2,.069,-1.6,-1.5,-3.1,-0.4
70,Chris Paul,2018-19,33,HOU,NBA,34,.556,15.6,34,1106,19.0,.481,.310,1.9,12.8,7.2,38.3,3.2,0.7,16.5,22.4,116,111,2.4,1.0,3.4,.148,2.5,-0.6,1.9,1.1
71,Marc Gasol,2018-19,34,TOT,NBA,56,.541,15.4,53,1848,17.3,.314,.296,3.6,26.1,14.6,22.7,1.8,3.4,13.4,22.6,105,104,1.1,3.1,4.2,.109,-0.3,3.3,3.0,2.3
72,Rudy Gobert,2018-19,26,UTA,NBA,57,.676,15.2,56,1800,24.5,.000,.703,13.1,31.3,22.2,11.0,1.4,5.5,12.3,17.4,133,100,6.0,3.9,10.0,.266,2.0,5.4,7.4,4.3
73,Jeremy Lamb,2018-19,26,CHO,NBA,54,.544,15.2,54,1544,16.5,.322,.249,3.3,17.9,10.5,11.1,1.7,0.9,6.5,22.4,112,111,2.1,1.4,3.4,.107,0.4,-1.0,-0.6,0.5
74,Collin Sexton,2018-19,20,CLE,NBA,58,.489,15.1,48,1766,10.4,.193,.207,2.6,8.9,5.6,15.5,0.8,0.1,12.6,25.3,97,120,-1.2,-0.3,-1.5,-.040,-2.9,-3.5,-6.4,-2.0
75,Jusuf Nurkic,2018-19,24,POR,NBA,56,.559,15.0,56,1529,22.8,.040,.436,13.6,25.8,19.8,17.7,1.8,4.5,14.4,24.4,115,104,3.1,2.6,5.7,.180,1.2,3.8,5.1,2.7
76,Evan Fournier,2018-19,26,ORL,NBA,58,.529,14.9,58,1825,11.9,.429,.162,1.7,8.9,5.3,18.0,1.4,0.4,12.3,22.4,102,111,0.2,1.6,1.8,.048,-0.5,-1.2,-1.7,0.2
77,Reggie Jackson,2018-19,28,DET,NBA,56,.544,14.9,56,1629,14.3,.457,.238,2.2,8.3,5.1,24.4,1.1,0.3,11.6,22.8,111,112,2.2,1.4,3.5,.104,1.4,-1.7,-0.3,0.7
78,Bogdan Bogdanovic,2018-19,26,SAC,NBA,45,.528,14.8,9,1258,14.6,.424,.196,1.7,11.8,6.6,20.5,1.8,0.7,11.2,23.4,106,112,0.8,1.0,1.8,.069,0.6,-1.2,-0.6,0.4
79,Gary Harris,2018-19,24,DEN,NBA,32,.526,14.8,27,956,13.8,.389,.225,2.5,8.6,5.5,13.0,1.6,1.3,8.0,21.8,109,112,1.0,0.8,1.8,.088,0.0,-1.5,-1.5,0.1
80,Bobby Portis,2018-19,23,TOT,NBA,26,.549,14.8,6,648,17.8,.287,.171,8.4,23.7,16.0,9.8,1.1,1.3,9.3,26.1,106,111,0.5,0.6,1.0,.076,-0.5,-1.9,-2.4,-0.1
81,Steven Adams,2018-19,25,OKC,NBA,55,.610,14.7,55,1866,19.2,.002,.384,13.6,15.3,14.4,6.9,2.1,1.9,11.8,16.4,123,106,4.2,2.9,7.1,.182,1.1,1.9,3.0,2.4
82,Emmanuel Mudiay,2018-19,22,NYK,NBA,39,.533,14.7,32,1036,15.8,.275,.259,2.4,10.0,6.1,25.0,1.4,1.1,13.4,25.4,105,115,0.5,0.4,0.9,.043,0.4,-1.9,-1.6,0.1
83,Terrence Ross,2018-19,27,ORL,NBA,59,.555,14.6,0,1550,15.2,.512,.123,1.4,12.3,6.8,9.5,1.6,1.2,6.9,23.6,107,109,1.1,1.7,2.8,.087,0.7,-1.3,-0.6,0.6
84,Rudy Gay,2018-19,32,SAS,NBA,48,.600,14.5,45,1311,18.3,.232,.187,3.8,22.2,13.0,14.6,1.5,1.9,12.3,22.1,113,110,2.0,1.4,3.4,.124,1.0,0.6,1.6,1.2
85,Marcus Morris,2018-19,29,BOS,NBA,53,.602,14.5,36,1467,15.7,.456,.193,3.6,19.9,11.7,7.5,1.1,1.0,9.6,20.8,114,108,2.2,1.9,4.1,.134,0.5,-0.9,-0.4,0.6
