Rk,Player,Season,Age,Tm,Lg,G,TS_PCT,PTS,GS,MP,PER,3PAr,FTr,ORB_PCT,DRB_PCT,TRB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,ORtg,DRtg,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP
173,Shaquille O'Neal,1996-97,24,LAL,NBA,51,.556,26.2,51,1941,27.1,.004,.483,11.6,25.9,18.8,17.3,1.2,5.8,10.8,31.1,110,99,4.1,3.9,8.0,.197,2.9,3.3,6.3,4.0
174,Dominique Wilkins,1988-89,29,ATL,NBA,80,.528,26.2,80,2997,21.8,.060,.298,9.2,11.0,10.0,11.9,1.9,1.0,8.4,29.4,114,108,7.5,2.9,10.4,.166,3.6,-0.9,2.6,3.5
175,Blake Griffin,2018-19,29,DET,NBA,52,.594,26.1,52,1882,21.5,.364,.428,3.8,21.1,12.1,26.7,1.0,1.0,14.8,30.4,112,108,3.7,2.3,6.0,.153,4.3,0.8,5.1,3.4
176,Kevin Love,2013-14,25,MIN,NBA,77,.591,26.1,77,2797,26.9,.355,.445,8.5,29.5,18.7,21.4,1.0,1.0,10.3,28.8,120,104,10.6,3.7,14.3,.245,7.2,1.2,8.4,7.3
177,Kevin McHale,1986-87,29,BOS,NBA,77,.655,26.1,77,3060,24.0,.003,.392,9.9,17.5,14.0,9.8,0.6,3.1,11.4,24.1,125,106,10.8,4.0,14.8,.232,4.7,0.6,5.2,5.6
178,Dirk Nowitzki,2004-05,26,DAL,NBA,78,.578,26.1,78,3020,26.1,.158,.490,3.6,24.0,14.0,14.3,1.7,2.9,9.1,28.7,118,100,10.3,5.2,15.6,.248,4.0,1.7,5.7,5.9
179,Hakeem Olajuwon,1992-93,30,HOU,NBA,82,.577,26.1,82,3242,27.3,.005,.356,10.5,25.9,18.7,15.8,2.4,6.5,12.4,28.8,114,96,7.9,8.0,15.8,.234,3.0,5.4,8.4,8.5
180,Paul Pierce,2001-02,24,BOS,NBA,82,.570,26.1,82,3302,22.3,.325,.402,2.6,16.5,9.4,15.7,2.4,2.0,11.4,29.3,109,99,7.3,5.6,12.9,.187,3.9,1.0,4.9,5.7
181,Kevin Love,2011-12,23,MIN,NBA,55,.568,26.0,55,2145,25.4,.266,.434,11.6,26.4,19.0,10.0,1.1,0.9,9.2,28.8,117,104,7.6,2.3,10.0,.223,5.1,-0.6,4.5,3.5
182,Amar'e Stoudemire,2004-05,22,PHO,NBA,80,.617,26.0,80,2889,26.6,.012,.595,8.5,17.4,13.2,7.7,1.3,3.0,10.1,28.3,121,105,11.3,3.3,14.6,.243,3.4,0.0,3.4,3.9
183,Dominique Wilkins,1993-94,34,TOT,NBA,74,.529,26.0,74,2635,21.4,.186,.329,7.5,12.3,9.9,11.3,1.7,0.7,8.6,32.0,110,106,5.6,2.8,8.4,.153,3.0,-2.2,0.9,1.9
184,George Gervin,1983-84,31,SAS,NBA,76,.551,25.9,76,2584,19.3,.015,.325,4.4,8.4,6.4,12.5,1.4,0.9,11.2,30.1,110,113,4.6,0.9,5.5,.102,1.9,-2.3,-0.4,1.1
185,James Harden,2012-13,23,HOU,NBA,78,.600,25.9,78,2985,23.0,.364,.592,2.4,11.9,7.2,25.7,2.4,1.0,14.9,29.0,116,106,9.8,3.0,12.8,.206,5.4,0.1,5.5,5.7
186,Chris Mullin,1992-93,29,GSW,NBA,46,.578,25.9,46,1902,19.0,.143,.243,2.5,11.2,6.8,14.0,1.7,1.3,11.9,25.1,113,111,3.6,1.3,4.9,.122,2.4,-0.7,1.7,1.8
187,Dirk Nowitzki,2008-09,30,DAL,NBA,81,.564,25.9,81,3050,23.1,.105,.337,3.3,22.1,12.8,12.1,1.0,1.5,7.8,30.3,114,108,7.5,3.4,10.9,.171,1.9,-0.7,1.2,2.4
188,Paul Pierce,2002-03,25,BOS,NBA,79,.532,25.9,79,3096,22.7,.246,.473,3.8,17.7,10.6,24.2,2.4,1.6,13.0,33.2,104,100,5.3,4.8,10.1,.157,3.3,0.9,4.2,4.9
189,Mitch Richmond,1996-97,31,SAC,NBA,81,.578,25.9,81,3125,21.6,.302,.337,2.2,9.8,6.0,20.6,2.0,0.6,11.6,29.4,115,110,8.7,2.1,10.8,.166,5.2,-1.9,3.3,4.2
190,Dominique Wilkins,1990-91,31,ATL,NBA,81,.555,25.9,81,3078,23.5,.152,.350,9.0,17.3,13.0,14.4,1.9,1.3,9.6,28.1,116,109,8.6,2.8,11.4,.177,4.8,-0.1,4.7,5.2
191,Charles Barkley,1988-89,25,PHI,NBA,79,.653,25.8,79,3088,27.0,.134,.661,14.5,21.3,17.9,16.0,2.0,1.3,14.0,24.4,127,108,13.2,2.9,16.1,.250,8.5,1.3,9.8,9.2
192,Larry Bird,1985-86,29,BOS,NBA,82,.580,25.8,81,3113,25.6,.121,.306,7.2,20.4,14.2,26.3,2.5,0.9,12.7,27.6,117,99,9.6,6.2,15.8,.244,6.4,2.8,9.1,8.7
193,Dale Ellis,1987-88,27,SEA,NBA,75,.572,25.8,73,2790,19.3,.171,.260,6.6,7.2,6.9,11.4,1.3,0.2,9.2,26.8,117,112,7.4,1.6,9.0,.155,4.7,-2.3,2.4,3.1
194,Danny Granger,2008-09,25,IND,NBA,67,.584,25.8,66,2424,21.8,.352,.360,2.2,13.4,7.7,13.1,1.4,3.0,10.0,29.6,114,109,5.6,2.4,8.0,.158,3.8,-0.9,2.9,3.0
195,Grant Hill,1999-00,27,DET,NBA,74,.565,25.8,74,2776,24.5,.069,.425,4.1,16.4,10.2,26.8,1.9,1.1,12.4,30.5,111,105,8.1,2.6,10.7,.185,4.6,0.2,4.8,4.7
196,Moses Malone,1979-80,24,HOU,NBA,82,.560,25.8,,3140,24.1,.004,.505,19.6,22.3,20.9,7.1,1.2,1.9,13.7,27.6,114,106,8.9,3.0,11.9,.183,3.9,-1.1,2.8,3.8
197,Mark Aguirre,1984-85,25,DAL,NBA,80,.563,25.7,79,2699,21.3,.054,.370,7.8,12.5,10.1,15.3,1.1,0.5,12.2,32.2,110,111,5.3,1.9,7.2,.128,3.6,-1.9,1.7,2.5
198,Mark Aguirre,1986-87,27,DAL,NBA,80,.560,25.7,80,2663,22.1,.094,.350,7.5,9.8,8.7,15.7,1.5,0.6,10.6,31.3,114,111,6.8,2.1,8.9,.160,4.4,-1.6,2.8,3.2
199,Carmelo Anthony,2007-08,23,DEN,NBA,77,.568,25.7,77,2806,21.1,.111,.398,7.0,14.9,11.0,16.1,1.7,1.0,12.7,30.2,109,107,5.2,3.0,8.2,.140,2.2,-0.6,1.6,2.6
200,Vince Carter,1999-00,23,TOR,NBA,82,.543,25.7,82,3126,23.4,.139,.325,5.2,12.1,8.5,20.5,1.8,2.1,8.4,30.0,112,105,9.1,2.7,11.8,.182,5.2,-0.6,4.6,5.2
