,GAME_ID,EVENTNUM,EVENTMSGTYPE,PERSON1TYPE,TIMEOUT_TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
6907,21900787,650,9,3.0,1610612752,New York Knicks,NYK
6924,21900787,671,9,3.0,1610612752,New York Knicks,NYK
6933,21900787,684,9,2.0,1610612737,Atlanta Hawks,ATL
6938,21900787,691,9,2.0,1610612737,Atlanta Hawks,ATL
6975,21900787,747,9,3.0,1610612752,New York Knicks,NYK
6983,21900787,756,9,3.0,1610612752,New York Knicks,NYK
6985,21900787,758,9,2.0,1610612737,Atlanta Hawks,ATL
7018,21900787,804,9,2.0,1610612737,Atlanta Hawks,ATL
7024,21900787,813,9,3.0,1610612752,New York Knicks,NYK
7038,21900787,830,9,2.0,1610612737,Atlanta Hawks,ATL
7042,21900787,835,9,3.0,1610612752,New York Knicks,NYK
7064,21900771,20,9,3.0,1610612737,Atlanta Hawks,ATL
7122,21900771,102,9,2.0,1610612738,Boston Celtics,BOS
7225,21900771,248,9,3.0,1610612737,Atlanta Hawks,ATL
7259,21900771,296,9,2.0,1610612738,Boston Celtics,BOS
7273,21900771,321,9,2.0,1610612738,Boston Celtics,BOS
7326,21900771,393,9,2.0,1610612738,Boston Celtics,BOS
7375,21900771,465,9,3.0,1610612737,Atlanta Hawks,ATL
7446,21900771,569,9,3.0,1610612737,Atlanta Hawks,ATL
7481,21900771,618,9,2.0,1610612738,Boston Celtics,BOS
7487,21900771,627,9,3.0,1610612737,Atlanta Hawks,ATL
7513,21900771,664,9,3.0,1610612737,Atlanta Hawks,ATL
7523,21900771,677,9,3.0,1610612737,Atlanta Hawks,ATL
7567,21900759,56,9,2.0,1610612750,Minnesota Timberwolves,MIN
7612,21900759,122,9,3.0,1610612737,Atlanta Hawks,ATL
7651,21900759,180,9,3.0,1610612737,Atlanta Hawks,ATL
7665,21900759,200,9,2.0,1610612750,Minnesota Timberwolves,MIN
7700,21900759,251,9,3.0,1610612737,Atlanta Hawks,ATL
7801,21900759,386,9,2.0,1610612750,Minnesota Timberwolves,MIN
7821,21900759,414,9,2.0,1610612750,Minnesota Timberwolves,MIN
7843,21900759,449,9,3.0,1610612737,Atlanta Hawks,ATL
7873,21900759,490,9,3.0,1610612737,Atlanta Hawks,ATL
7919,21900759,564,9,3.0,1610612737,Atlanta Hawks,ATL
7931,21900759,582,9,2.0,1610612750,Minnesota Timberwolves,MIN
7982,21900759,648,9,3.0,1610612737,Atlanta Hawks,ATL
7985,21900759,653,9,2.0,1610612750,Minnesota Timberwolves,MIN
8034,21900745,53,9,2.0,1610612737,Atlanta Hawks,ATL
8063,21900745,93,9,3.0,1610612738,Boston Celtics,BOS
8128,21900745,189,9,2.0,1610612737,Atlanta Hawks,ATL
8136,21900745,202,9,3.0,1610612738,Boston Celtics,BOS
8186,21900745,275,9,2.0,1610612737,Atlanta Hawks,ATL
8266,21900745,392,9,2.0,1610612737,Atlanta Hawks,ATL
8301,21900745,443,9,3.0,1610612738,Boston Celtics,BOS
8367,21900745,547,9,3.0,1610612738,Boston Celtics,BOS
8410,21900745,607,9,3.0,1610612738,Boston Celtics,BOS
8438,21900745,652,9,2.0,1610612737,Atlanta Hawks,ATL
8478,21900733,41,9,2.0,1610612742,Dallas Mavericks,DAL
8493,21900733,63,9,3.0,1610612737,Atlanta Hawks,ATL
8533,21900733,115,9,2.0,1610612742,Dallas Mavericks,DAL
8614,21900733,228,9,3.0,1610612737,Atlanta Hawks,ATL
8630,21900733,249,9,3.0,1610612737,Atlanta Hawks,ATL
8660,21900733,287,9,2.0,1610612742,Dallas Mavericks,DAL
8698,21900733,345,9,3.0,1610612737,Atlanta Hawks,ATL
8731,21900733,393,9,3.0,1610612737,Atlanta Hawks,ATL
8760,21900733,432,9,2.0,1610612742,Dallas Mavericks,DAL
8809,21900733,514,9,2.0,1610612742,Dallas Mavericks,DAL
8865,21900733,598,9,3.0,1610612737,Atlanta Hawks,ATL
8886,21900733,624,9,2.0,1610612742,Dallas Mavericks,DAL
8960,21900716,71,9,2.0,1610612737,Atlanta Hawks,ATL
8981,21900716,101,9,3.0,1610612755,Philadelphia 76ers,PHI
9059,21900716,215,9,3.0,1610612755,Philadelphia 76ers,PHI
9108,21900716,285,9,2.0,1610612737,Atlanta Hawks,ATL
9213,21900716,435,9,2.0,1610612737,Atlanta Hawks,ATL
9224,21900716,453,9,3.0,1610612755,Philadelphia 76ers,PHI
9246,21900716,481,9,2.0,1610612737,Atlanta Hawks,ATL
9301,21900716,566,9,3.0,1610612755,Philadelphia 76ers,PHI
9320,21900716,595,9,3.0,1610612755,Philadelphia 76ers,PHI
9351,21900716,645,9,2.0,1610612737,Atlanta Hawks,ATL
9394,21900716,703,9,3.0,1610612755,Philadelphia 76ers,PHI
9404,21900716,717,9,2.0,1610612737,Atlanta Hawks,ATL
9467,21900703,74,9,3.0,1610612737,Atlanta Hawks,ATL
9509,21900703,134,9,2.0,1610612761,Toronto Raptors,TOR
9561,21900703,208,9,3.0,1610612737,Atlanta Hawks,ATL
9629,21900703,306,9,2.0,1610612761,Toronto Raptors,TOR
9685,21900703,392,9,3.0,1610612737,Atlanta Hawks,ATL
9736,21900703,459,9,3.0,1610612737,Atlanta Hawks,ATL
9760,21900703,491,9,2.0,1610612761,Toronto Raptors,TOR
9821,21900703,575,9,3.0,1610612737,Atlanta Hawks,ATL
9897,21900703,690,9,2.0,1610612761,Toronto Raptors,TOR
9928,21900687,9,9,2.0,1610612737,Atlanta Hawks,ATL
10009,21900687,117,9,3.0,1610612764,Washington Wizards,WAS
10061,21900687,196,9,3.0,1610612764,Washington Wizards,WAS
10114,21900687,269,9,2.0,1610612737,Atlanta Hawks,ATL
10205,21900687,416,9,3.0,1610612764,Washington Wizards,WAS
10231,21900687,449,9,3.0,1610612764,Washington Wizards,WAS
10263,21900687,499,9,2.0,1610612737,Atlanta Hawks,ATL
10351,21900687,628,9,2.0,1610612737,Atlanta Hawks,ATL
10367,21900687,653,9,3.0,1610612764,Washington Wizards,WAS
