Rk,Player,Season,Age,Tm,Lg,MP,G,BPM,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,VORP
48,Luol Deng,2004-05,19,CHI,NBA,27.3,61,0.6,45,1663,14.2,.181,.251,6.2,15.4,10.8,14.8,1.5,1.2,14.1,22.4,98,100,0.1,2.9,3.0,.086,-1.2,1.8,1.1
49,Landry Fields,2010-11,22,NYK,NBA,31.0,82,0.6,81,2541,13.5,.364,.244,4.7,18.9,11.7,9.0,1.6,0.5,13.8,13.5,115,110,3.4,1.8,5.3,.100,0.5,0.1,1.7
50,Josh Richardson,2015-16,22,MIA,NBA,21.3,52,0.6,2,1107,11.4,.423,.232,2.2,8.5,5.5,9.7,1.7,1.7,10.5,13.8,112,106,1.3,1.2,2.5,.109,0.2,0.4,0.7
51,Thaddeus Young,2007-08,19,PHI,NBA,21.0,74,0.6,22,1554,16.5,.039,.210,9.1,14.8,11.9,6.2,2.5,0.4,10.7,17.4,115,106,2.6,2.0,4.5,.140,0.3,0.3,1.0
52,Courtney Lee,2008-09,23,ORL,NBA,25.2,77,0.5,42,1939,10.7,.376,.174,1.1,9.1,5.2,7.6,2.0,0.5,10.6,15.5,107,104,1.3,3.1,4.4,.108,-1.0,1.5,1.2
53,Kelly Olynyk,2013-14,22,BOS,NBA,20.0,70,0.5,9,1400,15.2,.227,.243,11.0,18.8,14.8,13.1,1.3,1.5,16.0,21.0,107,107,1.5,1.4,2.9,.101,0.3,0.2,0.9
54,Isaiah Thomas,2011-12,22,SAC,NBA,25.5,65,0.5,37,1656,17.6,.384,.324,3.0,8.4,5.6,25.6,1.6,0.4,13.9,19.8,116,113,4.2,0.0,4.3,.124,3.2,-2.7,1.1
55,Rajon Rondo,2006-07,20,BOS,NBA,23.5,78,0.4,25,1831,13.1,.064,.409,4.7,14.6,9.5,26.3,3.6,0.3,20.5,16.5,97,103,-0.1,2.6,2.4,.064,-1.5,2.0,1.1
56,Luis Scola,2007-08,27,HOU,NBA,24.7,82,0.4,39,2024,16.1,.004,.351,9.9,19.3,14.6,8.9,1.6,0.7,12.0,19.8,111,101,2.8,3.7,6.5,.154,-0.9,1.4,1.3
57,Ed Davis,2010-11,21,TOR,NBA,24.6,65,0.3,17,1602,15.8,.000,.343,12.1,22.3,17.1,3.8,1.3,3.2,10.1,13.3,120,110,2.9,1.1,4.0,.119,-0.1,0.5,0.9
58,Damian Lillard,2012-13,22,POR,NBA,38.6,82,0.3,82,3167,16.4,.391,.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,108,112,5.1,0.7,5.8,.088,2.7,-2.4,1.9
59,Jarrett Allen,2017-18,19,BRK,NBA,20.0,72,0.2,31,1441,17.5,.038,.370,10.5,18.2,14.3,5.4,0.9,4.6,15.1,16.3,119,108,2.7,1.5,4.2,.141,-1.3,1.4,0.8
60,Luther Head,2005-06,23,HOU,NBA,28.9,80,0.2,27,2310,11.2,.497,.195,1.7,11.6,6.8,16.2,2.1,0.3,14.8,16.6,100,104,0.5,2.9,3.5,.072,-0.6,0.8,1.3
61,Luc Mbah a Moute,2008-09,22,MIL,NBA,25.8,82,0.2,52,2114,12.3,.008,.391,10.1,17.4,13.6,6.3,2.1,1.8,14.8,14.3,106,106,1.2,2.8,4.0,.092,-1.9,2.2,1.2
62,Kristaps Porzingis,2015-16,20,NYK,NBA,28.4,72,0.2,72,2047,17.7,.274,.271,7.1,20.7,14.0,7.9,1.3,5.0,10.9,24.6,103,103,1.5,2.9,4.4,.102,-0.8,0.9,1.1
63,Carmelo Anthony,2003-04,19,DEN,NBA,36.5,82,0.1,82,2995,17.6,.146,.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,102,105,3.7,2.4,6.1,.098,1.2,-1.2,1.6
64,Iman Shumpert,2011-12,21,NYK,NBA,28.9,59,0.1,35,1705,10.8,.294,.204,2.8,9.9,6.3,15.6,3.1,0.4,16.0,18.2,96,101,-0.1,2.5,2.4,.068,-1.3,1.4,0.9
65,Josh Childress,2004-05,21,ATL,NBA,29.7,80,0.0,44,2376,15.2,.087,.360,9.1,14.8,11.8,10.4,1.6,1.1,12.5,16.0,113,111,3.7,0.9,4.6,.093,0.3,-0.3,1.2
66,Raymond Felton,2005-06,21,CHA,NBA,30.1,80,0.0,54,2406,14.2,.307,.251,3.5,9.7,6.4,30.9,2.2,0.3,15.7,21.4,100,109,0.8,1.8,2.6,.051,0.7,-0.8,1.2
67,Paul George,2010-11,20,IND,NBA,20.7,61,0.0,19,1265,13.0,.349,.256,3.3,16.3,9.8,8.3,2.5,1.5,13.7,17.8,103,104,0.5,1.9,2.4,.091,-1.2,1.2,0.6
68,Ty Lawson,2009-10,22,DEN,NBA,20.3,65,0.0,8,1318,16.4,.213,.359,3.7,7.1,5.4,24.2,1.8,0.1,15.4,18.0,118,111,2.9,0.9,3.7,.135,1.8,-1.8,0.7
69,Brook Lopez,2008-09,20,NJN,NBA,30.5,82,0.0,75,2501,17.9,.002,.257,10.6,21.2,15.8,6.2,0.9,4.9,13.5,20.3,110,108,3.2,2.7,5.8,.112,-1.2,1.2,1.2
70,Bradley Beal,2012-13,19,WAS,NBA,31.2,56,-0.1,46,1745,13.6,.344,.231,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,102,105,1.0,2.0,3.0,.082,0.0,0.0,0.9
71,Mikal Bridges,2018-19,22,PHO,NBA,26.6,51,-0.1,37,1358,10.6,.570,.149,2.4,9.9,6.1,8.4,2.6,1.8,9.1,12.3,109,114,0.8,0.8,1.5,.055,-0.7,0.7,0.7
72,Josh Hart,2017-18,22,LAL,NBA,23.2,63,-0.1,23,1461,12.2,.525,.251,3.1,16.0,9.6,7.6,1.5,0.9,10.1,13.5,116,109,1.9,1.5,3.4,.111,-0.3,0.2,0.7
73,Russell Westbrook,2008-09,20,OKC,NBA,32.5,82,-0.1,65,2668,15.2,.118,.391,7.6,9.7,8.6,27.5,2.1,0.4,17.6,25.8,99,111,-0.1,2.0,1.9,.035,0.1,-0.2,1.3
74,Michael Carter-Williams,2013-14,22,PHI,NBA,34.5,70,-0.2,70,2414,15.5,.197,.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,96,108,-0.8,2.1,1.3,.026,-0.6,0.4,1.1
75,Al Horford,2007-08,21,ATL,NBA,31.4,81,-0.2,77,2540,14.7,.007,.317,11.4,24.5,18.0,7.9,1.2,2.2,15.3,16.0,108,106,2.4,3.0,5.5,.103,-1.3,1.1,1.2
76,Jonas Jerebko,2009-10,22,DET,NBA,27.9,80,-0.2,73,2232,13.9,.191,.292,9.9,16.5,13.0,4.2,1.9,1.1,10.8,15.7,113,111,2.9,1.5,4.4,.095,0.1,-0.3,1.0
77,Ryan Kelly,2013-14,22,LAL,NBA,22.2,59,-0.2,25,1312,12.6,.383,.364,3.4,14.4,8.9,10.7,1.2,2.5,9.8,15.9,110,111,1.5,0.7,2.2,.081,-0.5,0.3,0.6
78,Wesley Matthews,2009-10,23,UTA,NBA,24.7,82,-0.2,48,2025,12.3,.292,.342,3.0,8.0,5.6,9.0,1.6,0.6,12.5,16.5,113,108,2.6,1.9,4.6,.108,0.3,-0.5,0.9
79,John Wall,2010-11,20,WAS,NBA,37.8,69,-0.2,64,2606,15.8,.118,.404,1.5,12.8,6.9,36.0,2.4,1.0,18.6,23.8,100,110,0.3,1.9,2.2,.041,0.0,-0.2,1.2
80,Chris Bosh,2003-04,19,TOR,NBA,33.5,75,-0.3,63,2510,15.1,.020,.404,8.7,16.9,12.8,5.8,1.3,3.1,11.3,18.3,103,99,2.5,3.8,6.2,.119,-2.0,1.7,1.1
81,Jordan Clarkson,2014-15,22,LAL,NBA,25.0,59,-0.3,38,1476,16.9,.203,.265,4.0,10.5,7.1,23.8,1.8,0.7,12.6,23.0,107,112,2.0,0.4,2.4,.078,1.4,-1.7,0.6
82,Eric Gordon,2008-09,20,LAC,NBA,34.3,78,-0.4,65,2677,14.9,.374,.388,1.9,6.9,4.3,13.6,1.5,1.0,13.5,20.7,112,115,3.9,0.7,4.6,.082,1.4,-1.9,1.1
83,Rodney McGruder,2016-17,25,MIA,NBA,25.2,78,-0.4,65,1966,9.1,.478,.154,5.2,9.2,7.2,8.8,1.2,0.7,10.2,12.3,108,110,1.2,1.7,2.9,.072,-0.8,0.5,0.8
84,Josh Smith,2004-05,19,ATL,NBA,27.7,74,-0.4,59,2050,15.4,.038,.394,7.9,18.6,13.0,10.2,1.5,5.4,16.0,18.4,100,107,0.6,1.8,2.4,.055,-2.4,2.0,0.8
85,Marcus Thornton,2009-10,22,NOH,NBA,25.6,73,-0.4,17,1872,17.4,.354,.200,4.4,8.9,6.6,10.3,1.6,0.4,7.3,25.3,111,112,3.1,0.9,4.0,.103,2.3,-2.7,0.8
86,Malcolm Brogdon,2016-17,24,MIL,NBA,26.4,75,-0.5,28,1982,14.9,.304,.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,111,111,2.6,1.5,4.1,.100,0.6,-1.1,0.8
